continent,year,month,US_imports,US_exports,total_trade,US_trade_deficit,US_ unemployment_rate,US_housing_price_index,number_of_covid_cases_US,number_of_covid_deaths,global_container_freight_index
European Union,2021,Dec,44395.08214,23542.59074,67937.67288,-20852.4914,3.9,361.62,6340666,37560,9293
South and Central America,2019,Jan,9967.850534,13271.91659,23239.76712,3304.066056,4,264.58,0,0,1324
South and Central America,2019,Feb,8738.974137,11902.34513,20641.31927,3163.370993,3.8,266.36,0,0,1324
South and Central America,2019,Mar,9181.977306,14227.39207,23409.36938,5045.414764,3.8,269.34,0,0,1324
South and Central America,2019,Apr,9509.791998,13435.4792,22945.2712,3925.687202,3.6,272.38,0,0,1324
South and Central America,2019,May,9637.998744,13998.27034,23636.26908,4360.271596,3.6,275.21,0,0,1324
South and Central America,2019,Jun,8778.390637,13755.14631,22533.53695,4976.755673,3.6,276.47,0,0,1324
South and Central America,2019,Jul,10154.77899,12948.15549,23102.93448,2793.3765,3.7,277.43,0,0,1342
South and Central America,2019,Aug,8684.617766,13708.52599,22393.14376,5023.908224,3.7,277.48,0,0,1350
South and Central America,2019,Sep,8339.775506,12927.54198,21267.31749,4587.766474,3.5,278.17,0,0,1279
South and Central America,2019,Oct,8704.355203,14166.19505,22870.55025,5461.839847,3.6,278.27,0,0,1238
South and Central America,2019,Nov,8133.236986,14013.58808,22146.82507,5880.351094,3.6,278.71,0,0,1290
South and Central America,2019,Dec,9021.356799,13339.00083,22360.35763,4317.644031,3.6,279.34,0,0,1446
South and Central America,2020,Jan,8469.104714,13464.07436,21933.17907,4994.969646,3.5,280.38,4,0,1514
South and Central America,2020,Feb,7733.347128,12892.23611,20625.58324,5158.888982,3.5,283.64,66,2,1331
South and Central America,2020,Mar,8308.176664,12905.74477,21213.92143,4597.568106,4.4,286.34,212592,4947,1400
South and Central America,2020,Apr,5844.891317,8397.036848,14241.92817,2552.145531,14.7,288.64,878237,60329,1439
South and Central America,2020,May,5754.043545,7855.032661,13609.07621,2100.989116,13.2,289.54,743386,41797,1459
South and Central America,2020,Jun,6911.168165,8367.726881,15278.89505,1456.558716,11,293.23,860959,20649,1785
South and Central America,2020,Jul,7371.931636,9756.633872,17128.56551,2384.702236,10.2,296.61,1940971,30604,1762
South and Central America,2020,Aug,7696.946414,10031.53107,17728.47748,2334.584656,8.4,300.72,1478495,30610,1946
South and Central America,2020,Sep,7895.536458,9952.679181,17848.21564,2057.142723,7.9,304.59,1220261,21822,2247
South and Central America,2020,Oct,8546.339738,11542.86342,20089.20316,2996.523682,6.9,307.83,1935667,24008,2231
South and Central America,2020,Nov,7538.16108,11185.19479,18723.35587,3647.03371,6.7,310.16,4432394,41976,2443
South and Central America,2020,Dec,8873.970896,12477.53597,21351.50687,3603.565074,6.7,312.32,6373304,82375,3143
South and Central America,2021,Jan,7406.001966,12222.77586,19628.77783,4816.773894,6.4,315.03,6088193,97856,4087
South and Central America,2021,Feb,8096.325237,11358.69408,19455.01932,3262.368843,6.2,319.68,2342966,61920,4302
South and Central America,2021,Mar,9932.370193,13418.4451,23350.81529,3486.074907,6,327.16,1795768,32013,4111
South and Central America,2021,Apr,9786.754558,13281.12071,23067.87527,3494.366152,6,334.92,1844608,20769,4375
South and Central America,2021,May,9744.615041,14103.06004,23847.67508,4358.444999,5.8,342.48,897760,16312,5165
South and Central America,2021,Jun,10295.39023,14500.50294,24795.89317,4205.11271,5.9,348.93,392130,9505,6217
South and Central America,2021,Jul,10448.40661,15161.30726,25609.71387,4712.90065,5.4,353.89,1378269,9450,8848
South and Central America,2021,Aug,10697.24972,16172.28652,26869.53624,5475.0368,5.2,356.45,4245784,33309,10323
South and Central America,2021,Sep,11347.78628,14613.7306,25961.51688,3265.94432,4.7,358.8,4101005,54479,10839
South and Central America,2021,Oct,11184.61176,17319.90364,28504.5154,6135.29188,4.6,361.55,2433668,42996,10194
South and Central America,2021,Nov,10848.13807,15990.10103,26838.2391,5141.96296,4.2,361.59,2561250,30393,9353
South and Central America,2021,Dec,10848.13777,15990.10033,26838.2381,5141.96256,3.9,361.62,6340666,37560,9293
North America,2019,Jan,50912.28963,44668.57096,95580.86059,-6243.71867,4,264.58,0,0,1324
North America,2019,Feb,50468.59526,43406.83139,93875.42665,-7061.76387,3.8,266.36,0,0,1324
North America,2019,Mar,58674.81965,48170.64273,106845.4624,-10504.17692,3.8,269.34,0,0,1324
North America,2019,Apr,56967.9903,47602.24013,104570.2304,-9365.75017,3.6,272.38,0,0,1324
North America,2019,May,61116.16349,48802.87379,109919.0373,-12313.2897,3.6,275.21,0,0,1324
North America,2019,Jun,57844.86279,45569.7294,103414.5922,-12275.13339,3.6,276.47,0,0,1324
North America,2019,Jul,56723.74196,45678.73015,102402.4721,-11045.01181,3.7,277.43,0,0,1342
North America,2019,Aug,57527.63652,47249.70396,104777.3405,-10277.93256,3.7,277.48,0,0,1350
North America,2019,Sep,56138.67735,44924.86914,101063.5465,-11213.80821,3.5,278.17,0,0,1279
North America,2019,Oct,59476.921,47539.00808,107015.9291,-11937.91292,3.6,278.27,0,0,1238
North America,2019,Nov,54289.84303,44232.05184,98521.89487,-10057.79119,3.6,278.71,0,0,1290
North America,2019,Dec,54793.88329,41290.83351,96084.7168,-13503.04978,3.6,279.34,0,0,1446
North America,2020,Jan,53620.37434,43305.42306,96925.7974,-10314.95128,3.5,280.38,4,0,1514
North America,2020,Feb,53398.18842,42381.25921,95779.44763,-11016.92921,3.5,283.64,66,2,1331
North America,2020,Mar,55179.91201,43260.66381,98440.57582,-11919.2482,4.4,286.34,212592,4947,1400
North America,2020,Apr,30771.80131,27149.84392,57921.64523,-3621.95739,14.7,288.64,878237,60329,1439
North America,2020,May,30764.16907,25234.27099,55998.44006,-5529.89808,13.2,289.54,743386,41797,1459
North America,2020,Jun,46141.83519,35828.49004,81970.32523,-10313.34515,11,293.23,860959,20649,1785
North America,2020,Jul,51410.07143,39736.4647,91146.53613,-11673.60673,10.2,296.61,1940971,30604,1762
North America,2020,Aug,53533.50862,39839.49414,93373.00276,-13694.01448,8.4,300.72,1478495,30610,1946
North America,2020,Sep,54462.85079,42050.97325,96513.82404,-12411.87754,7.9,304.59,1220261,21822,2247
North America,2020,Oct,57991.60178,44058.18958,102049.7914,-13933.4122,6.9,307.83,1935667,24008,2231
North America,2020,Nov,53951.78727,41688.036,95639.82327,-12263.75127,6.7,310.16,4432394,41976,2443
North America,2020,Dec,54299.22106,42340.25679,96639.47785,-11958.96427,6.7,312.32,6373304,82375,3143
North America,2021,Jan,53583.27386,40832.54623,94415.82009,-12750.72763,6.4,315.03,6088193,97856,4087
North America,2021,Feb,52643.64394,43344.01983,95987.66377,-9299.62411,6.2,319.68,2342966,61920,4302
North America,2021,Mar,63197.2856,51493.94109,114691.2267,-11703.34451,6,327.16,1795768,32013,4111
North America,2021,Apr,59647.5376,47678.39481,107325.9324,-11969.14279,6,334.92,1844608,20769,4375
North America,2021,May,60453.17725,48232.2305,108685.4078,-12220.94675,5.8,342.48,897760,16312,5165
North America,2021,Jun,65151.05811,50799.08643,115950.1445,-14351.97168,5.9,348.93,392130,9505,6217
North America,2021,Jul,61887.22991,49356.41148,111243.6414,-12530.81843,5.4,353.89,1378269,9450,8848
North America,2021,Aug,63157.11487,49955.1631,113112.278,-13201.95177,5.2,356.45,4245784,33309,10323
North America,2021,Sep,61838.9353,47422.77138,109261.7067,-14416.16392,4.7,358.8,4101005,54479,10839
North America,2021,Oct,65637.41854,51944.64494,117582.0635,-13692.7736,4.6,361.55,2433668,42996,10194
North America,2021,Nov,68374.14391,51719.74527,120093.8892,-16654.39864,4.2,361.59,2561250,30393,9353
North America,2021,Dec,71224.97593,51495.81933,122720.7953,-19729.1566,3.9,361.62,6340666,37560,9293
Canada,2019,Jan,23350.89076,22683.00402,46033.89478,-667.88674,4,264.58,0,0,1324
Canada,2019,Feb,22961.20885,23191.33144,46152.54029,230.12259,3.8,266.36,0,0,1324
Canada,2019,Mar,27572.34951,26448.46708,54020.81659,-1123.88243,3.8,269.34,0,0,1324
Canada,2019,Apr,26732.56784,25334.4448,52067.01264,-1398.12304,3.6,272.38,0,0,1324
Canada,2019,May,29197.25212,26157.82276,55355.07488,-3039.42936,3.6,275.21,0,0,1324
Canada,2019,Jun,27646.48055,24886.52567,52533.00622,-2759.95488,3.6,276.47,0,0,1324
Canada,2019,Jul,26762.31974,23465.44901,50227.76875,-3296.87073,3.7,277.43,0,0,1342
Canada,2019,Aug,26636.4632,25309.16769,51945.63089,-1327.29551,3.7,277.48,0,0,1350
Canada,2019,Sep,26853.37914,24307.37518,51160.75432,-2546.00396,3.5,278.17,0,0,1279
Canada,2019,Oct,28536.72938,25266.55452,53803.2839,-3270.17486,3.6,278.27,0,0,1238
Canada,2019,Nov,25242.29417,23430.11816,48672.41233,-1812.17601,3.6,278.71,0,0,1290
Canada,2019,Dec,27286.39049,22339.99723,49626.38772,-4946.39326,3.6,279.34,0,0,1446
Canada,2020,Jan,25320.6294,22551.199,47871.8284,-2769.4304,3.5,280.38,4,0,1514
Canada,2020,Feb,24361.49192,23210.39122,47571.88314,-1151.1007,3.5,283.64,66,2,1331
Canada,2020,Mar,25098.93021,23575.28909,48674.2193,-1523.64112,4.4,286.34,212592,4947,1400
Canada,2020,Apr,14954.90189,14735.95551,29690.8574,-218.94638,14.7,288.64,878237,60329,1439
Canada,2020,May,15850.42907,14830.14821,30680.57728,-1020.28086,13.2,289.54,743386,41797,1459
Canada,2020,Jun,20334.60754,20116.37629,40450.98383,-218.23125,11,293.23,860959,20649,1785
Canada,2020,Jul,22340.36936,21264.85677,43605.22613,-1075.51259,10.2,296.61,1940971,30604,1762
Canada,2020,Aug,23761.75971,22840.96793,46602.72764,-920.79178,8.4,300.72,1478495,30610,1946
Canada,2020,Sep,24605.66425,23335.82056,47941.48481,-1269.84369,7.9,304.59,1220261,21822,2247
Canada,2020,Oct,24878.40246,23615.50542,48493.90788,-1262.89704,6.9,307.83,1935667,24008,2231
Canada,2020,Nov,24087.27305,22431.35613,46518.62918,-1655.91692,6.7,310.16,4432394,41976,2443
Canada,2020,Dec,24718.9765,22884.47861,47603.45511,-1834.49789,6.7,312.32,6373304,82375,3143
Canada,2021,Jan,24542.33571,21349.50739,45891.8431,-3192.82832,6.4,315.03,6088193,97856,4087
Canada,2021,Feb,25215.60751,22297.84673,47513.45424,-2917.76078,6.2,319.68,2342966,61920,4302
Canada,2021,Mar,29798.12221,27985.42401,57783.54622,-1812.6982,6,327.16,1795768,32013,4111
Canada,2021,Apr,27470.2752,25119.96599,52590.24119,-2350.30921,6,334.92,1844608,20769,4375
Canada,2021,May,29082.60512,25432.44714,54515.05226,-3650.15798,5.8,342.48,897760,16312,5165
Canada,2021,Jun,32127.10432,26665.58314,58792.68746,-5461.52118,5.9,348.93,392130,9505,6217
Canada,2021,Jul,29978.86677,25695.42831,55674.29508,-4283.43846,5.4,353.89,1378269,9450,8848
Canada,2021,Aug,31068.67949,25774.12353,56842.80302,-5294.55596,5.2,356.45,4245784,33309,10323
Canada,2021,Sep,29790.78409,24638.67369,54429.45778,-5152.1104,4.7,358.8,4101005,54479,10839
Canada,2021,Oct,31279.56512,27471.6841,58751.24922,-3807.88102,4.6,361.55,2433668,42996,10194
Canada,2021,Nov,33752.54218,27630.50253,61383.04471,-6122.03965,4.2,361.59,2561250,30393,9353
Canada,2021,Dec,33752.62124,27630.50831,61383.12955,-6122.112929,3.9,361.62,6340666,37560,9293
Mexico,2019,Jan,27561.39887,21985.56694,49546.96581,5575.83193,4,264.58,0,0,1324
Mexico,2019,Feb,27507.38641,20215.49995,47722.88636,7291.88646,3.8,266.36,0,0,1324
Mexico,2019,Mar,31102.47015,21722.17565,52824.6458,9380.2945,3.8,269.34,0,0,1324
Mexico,2019,Apr,30235.42246,22267.79533,52503.21779,7967.62713,3.6,272.38,0,0,1324
Mexico,2019,May,31918.91137,22645.05103,54563.9624,9273.86034,3.6,275.21,0,0,1324
Mexico,2019,Jun,30198.38223,20683.20373,50881.58596,9515.1785,3.6,276.47,0,0,1324
Mexico,2019,Jul,29961.42223,22213.28114,52174.70337,7748.14109,3.7,277.43,0,0,1342
Mexico,2019,Aug,30891.17332,21940.53626,52831.70958,8950.63706,3.7,277.48,0,0,1350
Mexico,2019,Sep,29285.29821,20617.49396,49902.79217,8667.80425,3.5,278.17,0,0,1279
Mexico,2019,Oct,30940.19162,22272.45356,53212.64518,8667.73806,3.6,278.27,0,0,1238
Mexico,2019,Nov,29047.54886,20801.93368,49849.48254,8245.61518,3.6,278.71,0,0,1290
Mexico,2019,Dec,27507.4928,18950.83628,46458.32908,8556.65652,3.6,279.34,0,0,1446
Mexico,2020,Jan,28299.74495,20754.22406,49053.96901,7545.52089,3.5,280.38,4,0,1514
Mexico,2020,Feb,29036.69651,19170.86799,48207.5645,9865.82852,3.5,283.64,66,2,1331
Mexico,2020,Mar,30080.9818,19685.37471,49766.35651,10395.60709,4.4,286.34,212592,4947,1400
Mexico,2020,Apr,15816.89943,12413.88841,28230.78784,3403.01102,14.7,288.64,878237,60329,1439
Mexico,2020,May,14913.74,10404.12278,25317.86278,4509.61722,13.2,289.54,743386,41797,1459
Mexico,2020,Jun,25807.22765,15712.11375,41519.3414,10095.1139,11,293.23,860959,20649,1785
Mexico,2020,Jul,29069.70208,18471.60794,47541.31002,10598.09414,10.2,296.61,1940971,30604,1762
Mexico,2020,Aug,29771.7489,16998.52621,46770.27511,12773.22269,8.4,300.72,1478495,30610,1946
Mexico,2020,Sep,29857.18653,18715.15269,48572.33922,11142.03384,7.9,304.59,1220261,21822,2247
Mexico,2020,Oct,33113.19932,20442.68416,53555.88348,12670.51516,6.9,307.83,1935667,24008,2231
Mexico,2020,Nov,29864.51422,19256.67987,49121.19409,10607.83435,6.7,310.16,4432394,41976,2443
Mexico,2020,Dec,29580.24457,19455.77818,49036.02275,10124.46639,6.7,312.32,6373304,82375,3143
Mexico,2021,Jan,29040.93815,19483.03884,48523.97699,9557.89931,6.4,315.03,6088193,97856,4087
Mexico,2021,Feb,27428.03642,21046.1731,48474.20952,6381.86332,6.2,319.68,2342966,61920,4302
Mexico,2021,Mar,33399.16338,23508.51708,56907.68046,9890.6463,6,327.16,1795768,32013,4111
Mexico,2021,Apr,32177.2624,22558.42882,54735.69122,9618.83358,6,334.92,1844608,20769,4375
Mexico,2021,May,31370.57213,22799.78336,54170.35549,8570.78877,5.8,342.48,897760,16312,5165
Mexico,2021,Jun,33023.9538,24133.50329,57157.45709,8890.45051,5.9,348.93,392130,9505,6217
Mexico,2021,Jul,31908.36315,23660.98316,55569.34631,8247.37999,5.4,353.89,1378269,9450,8848
Mexico,2021,Aug,32088.43538,24181.03957,56269.47495,7907.39581,5.2,356.45,4245784,33309,10323
Mexico,2021,Sep,32048.15121,22784.09769,54832.2489,9264.05352,4.7,358.8,4101005,54479,10839
Mexico,2021,Oct,34357.85342,24472.96084,58830.81426,9884.89258,4.6,361.55,2433668,42996,10194
Mexico,2021,Nov,34621.60172,24089.24274,58710.84446,10532.35898,4.2,361.59,2561250,30393,9353
Mexico,2021,Dec,34621.6094,24089.22706,58710.83646,10532.38234,3.9,361.62,6340666,37560,9293
